,SP500,Div,Earning,CPI,Rate10y,TB3MS,gold,bondTR,eqTR,gldTR,tbTR,cpiTR
1980-07-01,119.8,5.98333,14.84,82.7,0.1025,0.0806,653.5,0.9787484720722729,1.0495372451395142,1.2203548085901028,1.0058916666666666,1.0
1980-08-01,123.5,6.02667,14.74,83.3,0.111,0.0913,614.25,0.9572015871093613,1.034951386960724,0.9399387911247131,1.0067166666666667,1.0072551390568318
1980-09-01,126.5,6.07,14.64,84.0,0.1151,0.1027,635.3,0.9848965090581123,1.0282901804526519,1.0342694342694343,1.0076083333333334,1.0084033613445378
1980-10-01,130.2,6.1,14.7,84.8,0.1175,0.1162,666.75,0.9954739266773156,1.0331532617296992,1.0495041712576736,1.0085583333333332,1.0095238095238095
1980-11-01,135.7,6.13,14.76,85.5,0.1268,0.1373,629.0,0.9570863257964476,1.0460071348766764,0.943382077240345,1.0096833333333333,1.008254716981132
1980-12-01,133.5,6.16,14.82,86.3,0.1284,0.1549,630.5,1.001556415857782,0.9876329606414974,1.0023847376788553,1.0114416666666666,1.0093567251461988
1981-01-01,133.0,6.2,14.74,87.0,0.1257,0.1502,589.5,1.026068600485207,1.0001393934273888,0.9349722442505948,1.0129083333333333,1.0081112398609502
1981-02-01,128.4,6.24,14.66,87.9,0.1319,0.1479,557.5,0.9760390328995907,0.9694633780713466,0.9457167090754877,1.0125166666666667,1.010344827586207
1981-03-01,133.2,6.28,14.58,88.5,0.13119999999999998,0.1336,497.0,1.0148903201050303,1.041312106499022,0.8914798206278027,1.012325,1.0068259385665528
1981-04-01,134.4,6.31667,14.7233,89.1,0.1368,0.1369,495.0,0.9804205249951673,1.0129255950705172,0.9959758551307847,1.0111333333333334,1.006779661016949
1981-05-01,131.7,6.35333,14.8667,89.8,0.141,0.163,475.0,0.9888851190726556,0.9839307914813609,0.9595959595959596,1.0114083333333332,1.0078563411896746
1981-06-01,132.3,6.39,15.01,90.6,0.13470000000000001,0.14730000000000001,471.0,1.0463593493703658,1.0085807519666943,0.991578947368421,1.0135833333333333,1.0089086859688197
1981-07-01,129.1,6.43333,15.0967,91.6,0.14279999999999998,0.1495,425.0,0.9681037321716047,0.9799652260430809,0.9023354564755839,1.012275,1.011037527593819
1981-08-01,129.6,6.47667,15.1833,92.3,0.1494,0.1551,394.5,0.9776397695601062,1.0080374921554494,0.928235294117647,1.0124583333333332,1.00764192139738
1981-09-01,118.3,6.52,15.27,93.2,0.1532,0.147,410.0,0.9930060803479356,0.9174014850296902,1.0392902408111533,1.012925,1.009750812567714
1981-10-01,119.8,6.55667,15.3,93.4,0.1515,0.1354,430.0,1.0215212942954377,1.0172404725272373,1.048780487804878,1.01225,1.002145922746781
1981-11-01,122.9,6.59333,15.33,93.7,0.13390000000000002,0.10859999999999999,424.0,1.1096145850949148,1.0303471211964794,0.986046511627907,1.0112833333333333,1.0032119914346895
1981-12-01,123.8,6.63,15.36,94.0,0.13720000000000002,0.1085,395.0,0.993205545699074,1.0117858701467366,0.9316037735849056,1.00905,1.0032017075773745
1982-01-01,117.3,6.66,15.1767,94.3,0.1459,0.12279999999999999,400.0,0.9656655270023099,0.9522274190282983,1.0126582278481013,1.0090416666666666,1.003191489361702
1982-02-01,114.5,6.69,14.9933,94.6,0.14429999999999998,0.1348,382.5,1.020627156168919,0.9809985779008775,0.95625,1.0102333333333333,1.0031813361611877
1982-03-01,110.8,6.72,14.81,94.5,0.1386,0.1268,375.0,1.0428661289585934,0.9727397411441994,0.9803921568627451,1.0112333333333334,0.9989429175475688
1982-04-01,116.3,6.75,14.5967,94.9,0.1387,0.127,335.0,1.0110091374567456,1.054475618576382,0.8933333333333333,1.0105666666666666,1.0042328042328044
1982-05-01,116.4,6.78,14.3833,95.8,0.1362,0.1209,360.0,1.0252120049856983,1.0057137971178933,1.0746268656716418,1.0105833333333334,1.0094836670179135
1982-06-01,109.7,6.81,14.17,97.0,0.14300000000000002,0.1247,340.0,0.9751772774213812,0.9476130621783245,0.9444444444444444,1.010075,1.012526096033403
1982-07-01,109.4,6.82333,13.9667,97.5,0.13949999999999999,0.11349999999999999,310.0,1.0307882392309298,1.0024628085252172,0.9117647058823529,1.0103916666666666,1.0051546391752577
