Date,SP500,Div,Earning,CPI,Rate10y,cpiTR,eqTR,bondTR
1879-02-15,3.71,0.1833,0.3217,8.372844628,0.04203333333333333,1.0114966145827406,1.0404300998358655,1.0048773810175509
1879-03-15,3.65,0.185,0.3275,8.277679339,0.041866666666666656,0.9886340553028117,0.988051237553693,1.004864547417337
1879-04-15,3.77,0.1867,0.3333,8.18251405,0.0417,0.9885033854172591,1.0370035911970255,1.0048517149482648
1879-05-15,3.94,0.1883,0.3392,8.18251405,0.041533333333333325,1.0,1.0490754947106689,1.0048388836117192
1879-06-15,3.96,0.19,0.345,8.087381157,0.04136666666666667,0.988373635239893,1.009074458630296,1.0048260534090856
1879-07-15,4.04,0.1917,0.3508,8.18251405,0.041199999999999994,1.0117631271672733,1.0241562281228123,1.0048132243417525
1879-08-15,4.07,0.1933,0.3567,8.18251405,0.041033333333333324,1.0,1.011383564032079,1.004800396411109
1879-09-15,4.22,0.195,0.3625,8.467928926,0.04086666666666666,1.0348810737452996,1.0407057477555106,1.0047875696185466
1879-10-15,4.68,0.1967,0.3683,8.94367438,0.04069999999999999,1.0561820320124873,1.1125072322139857,1.0047747439654593
1879-11-15,4.93,0.1983,0.3742,9.419419835,0.04053333333333333,1.053193512507999,1.056770730396491,1.0047619194532416
1879-12-15,4.92,0.2,0.38,9.704834711,0.04036666666666667,1.0303006852863141,1.0013591363094159,1.0047490960832903
1880-01-15,5.11,0.205,0.3892,9.990330579,0.04019999999999999,1.029417901128847,1.0419610042480074,1.0047362738570054
1880-02-15,5.2,0.21,0.3983,9.990330579,0.039933333333333335,1.0,1.0209779090772242,1.0055485504169652
1880-03-15,5.3,0.215,0.4075,10.08541488,0.03966666666666666,1.009517633100137,1.0226112723754233,1.0055290673621102
1880-04-15,5.18,0.22,0.4167,9.704834711,0.0394,0.9622643021106931,0.9808977441052913,1.005509589015857
1880-05-15,4.77,0.225,0.4258,9.419419835,0.03913333333333333,0.9705904444022632,0.9247802384594837,1.0054901153874405
1880-06-15,4.79,0.23,0.435,9.229089256,0.03886666666666667,0.9797938108361215,1.0081942639058485,1.0054706464861136
1880-07-15,5.01,0.235,0.4442,9.229089256,0.0386,1.0,1.049837867757873,1.0054511823211492
1880-08-15,5.19,0.24,0.4533,9.229089256,0.03833333333333334,1.0,1.0397817082597811,1.00543172290184
1880-09-15,5.18,0.245,0.4625,9.324254545,0.038066666666666665,1.0103114496306482,1.0020146591678383,1.0054122682374977
1880-10-15,5.33,0.25,0.4717,9.324254545,0.0378,1.0,1.0328662218906122,1.005392818337454
1880-11-15,5.61,0.255,0.4808,9.419419835,0.037533333333333335,1.0102062089297026,1.056320711808517,1.0053733732110608
1880-12-15,5.84,0.26,0.49,9.514585124,0.03726666666666667,1.0101030945288576,1.0447082631309061,1.0053539328676884
1881-01-15,6.19,0.265,0.4858,9.419419835,0.037000000000000005,0.9899979570564825,1.0634990889710167,1.0053344973167277
1881-02-15,6.17,0.27,0.4817,9.514585124,0.03693333333333334,1.0101030945288576,1.0004156597010392,1.0036407431280594
1881-03-15,6.24,0.275,0.4775,9.514585124,0.03686666666666667,1.0,1.0150177615356912,1.0036353620020022
1881-04-15,6.22,0.28,0.4733,9.609669421,0.0368,1.0099935305387258,1.0005462115590733,1.003629980951047
1881-05-15,6.5,0.285,0.4692,9.514585124,0.03673333333333334,0.9901053519289423,1.0486699233242642,1.003624599975231
1881-06-15,6.58,0.29,0.465,9.514585124,0.03666666666666667,1.0,1.0159804380017146,1.0036192190745905
1881-07-15,6.35,0.295,0.4608,9.609669421,0.0366,1.0099935305387258,0.9689169837812825,1.0036138382491626
1881-08-15,6.2,0.3,0.4567,9.8,0.036533333333333334,1.0198061526012614,0.9804102108204217,1.0036084574989843
1881-09-15,6.25,0.305,0.4525,10.18058017,0.03646666666666667,1.0388347112244898,1.012131182795699,1.0036030768240927
1881-10-15,6.15,0.31,0.4483,10.27574545,0.0364,1.0093477265942497,0.9882005420054202,1.0035976962245245
1881-11-15,6.19,0.315,0.4442,10.18058017,0.036333333333333336,0.9907388441585033,1.01074477586456,1.003592315700317
1881-12-15,6.01,0.32,0.44,10.18058017,0.03626666666666667,1.0,0.9753578894267944,1.0035869352515066
1882-01-15,5.92,0.32,0.4392,10.18058017,0.0362,1.0,0.9895294629071667,1.0035815548781306
1882-02-15,5.79,0.32,0.4383,10.27574545,0.036208333333333335,1.0093477265942497,0.982646182451882,1.0029467528224154
1882-03-15,5.78,0.32,0.4375,10.27574545,0.03621666666666667,1.0,1.0028864944331894,1.00294745000445
